Flight No.,Launch site,Payload,Payload mass,Orbit,Customer,Launch outcome,Version Booster,Booster landing,Date,Time
1,CCAFS,Dragon Spacecraft Qualification Unit,0,LEO,SpaceX,"Success
",F9 v1.07B0003.18,Failure,4 June 2010,18:45
1,CCAFS,Dragon Spacecraft Qualification Unit,0,LEO,NASA,Success,F9 v1.07B0003.18,Failure,4 June 2010,18:45
1,CCAFS,Dragon Spacecraft Qualification Unit,0,LEO,NASA,Success,F9 v1.07B0003.18,"No attempt
",4 June 2010,18:45
1,CCAFS,Dragon Spacecraft Qualification Unit,0,LEO,NASA,"Success
",F9 v1.07B0003.18,No attempt,4 June 2010,18:45
1,CCAFS,Dragon,525 kg,LEO,NASA,"Success
",F9 v1.07B0003.18,"No attempt
",4 June 2010,18:45
1,CCAFS,Dragon,"4,700 kg",LEO,MDA,Success,F9 v1.07B0003.18,Uncontrolled,4 June 2010,18:45
1,CCAFS,SpaceX CRS-1,"4,877 kg",Polar orbit,SES,Success,F9 v1.07B0003.18,No attempt,4 June 2010,18:45
1,CCAFS,SpaceX CRS-2,500 kg,GTO,Thaicom,Success,F9 v1.07B0004.18,No attempt,4 June 2010,18:45
1,CCAFS,CASSIOPE,"3,170 kg",GTO,NASA,"Success
",F9 v1.07B0005.18,Controlled,4 June 2010,15:43
1,VAFB,SES-8,"3,325 kg",LEO,Orbcomm,Success,F9 v1.07B0006.18,Controlled,8 December 2010,07:44
1,CCAFS,Thaicom 6,"2,296 kg",LEO,AsiaSat,Success,F9 v1.07B0007.18,No attempt,22 May 2012,00:35
1,CCAFS,SpaceX CRS-3,"1,316 kg",GTO,AsiaSat,Success,F9 v1.17B10038,"No attempt
",8 October 2012,15:10
1,Cape Canaveral,Orbcomm-OG2,"4,535 kg",GTO,NASA,Success,,Uncontrolled,1 March 2013,16:00
2,Cape Canaveral,AsiaSat 8,"4,428 kg",LEO,NASA,Success,,Failure ,29 September 2013,22:41
3,Cape Canaveral,AsiaSat 6,"2,216 kg",LEO,USAF,"Success
",,Controlled,3 December 2013,22:06
4,Cape Canaveral,SpaceX CRS-4,"2,395 kg",HEO,ABS,"Success
",,No attempt,6 January 2014,19:25
5,Cape Canaveral,SpaceX CRS-5,570 kg,GTO,NASA,"Success
",,Failure,18 April 2014,15:15
6,Cape Canaveral,DSCOVR,"4,159 kg",LEO,,"Success
",F9 v1.1[,No attempt,14 July 2014,08:00
7,Cape Canaveral,ABS-3A,"1,898 kg",GTO,NASA,Failure,F9 v1.1[,Precluded,5 August 2014,05:00
8,Cape Canaveral,SpaceX CRS-6,"4,707 kg",LEO,Orbcomm,"Success
",F9 v1.1[,Success,7 September 2014,05:52
9,Cape Canaveral,TürkmenÄlem 52°E / MonacoSAT,"1,952 kg",LEO,NASA,"Success
",F9 v1.1[,Failure,21 September 2014,09:47
10,Cape Canaveral,SpaceX CRS-7,"2,034 kg",LEO,SES,"Success
",F9 v1.1[,Failure,10 January 2015,23:03
11,Cape Canaveral,Orbcomm-OG2,553 kg,GTO,NASA,Success,F9 v1.1[,Success,11 February 2015,03:50
12,Cape Canaveral,Jason-3,"5,271 kg",LEO,SKY Perfect JSAT Group,"Success
",F9 v1.1[,Success,2 March 2015,20:10
13,VAFB,SES-9,"3,136 kg",GTO,Thaicom,"Success
",F9 v1.1[,Success,14 April 2015,23:03
14,Cape Canaveral,SpaceX CRS-8,"4,696 kg",GTO,ABS,"Success
",F9 FT[,Failure,27 April 2015,14:21
15,Cape Canaveral,JCSAT-14,"3,100 kg",GTO,NASA,"Success
",F9 v1.1[,Success,28 June 2015,01:29
16,Cape Canaveral,Thaicom 8,"3,600 kg",LEO,SKY Perfect JSAT Group,"Success
",F9 FT[,Success,22 December 2015,18:42
17,Cape Canaveral,ABS-2A,"2,257 kg",GTO,Iridium Communications,"Success
",F9 FT[,Success,17 January 2016,23:35
18,Cape Canaveral,SpaceX CRS-9,"4,600 kg",Polar,NASA,"Success
",F9 FT[,Success,4 March 2016,20:43
19,Cape Canaveral,JCSAT-16,"9,600 kg",LEO,EchoStar,"Success
",F9 FT[,No attempt,8 April 2016,05:21
20,Cape Canaveral,Iridium NEXT,"2,490 kg",GTO,SES,Success,F9 FT[,Success,6 May 2016,21:39
21,VAFB,SpaceX CRS-10,"5,600 kg",GTO,NRO,"Success
",F9 FT[,Success,27 May 2016,14:29
22,KSC,EchoStar 23,"5,300 kg",LEO,Inmarsat,"Success
",F9 FT[,No attempt,15 June 2016,04:45
23,KSC,SES-10,C,GTO,NASA,"Success
",F9 FT[,Success,18 July 2016,05:26
24,KSC,NROL-76,"6,070 kg",LEO,Bulsatcom,"Success
",F9 FT[,Success,14 August 2016,17:54
25,KSC,Inmarsat-5 F4,"2,708 kg",GTO,Iridium Communications,"Success
",F9 FT[,Success,14 January 2017,14:39
26,KSC,SpaceX CRS-11,"3,669 kg",LEO,Intelsat,"Success
",F9 FT♺[,No attempt,19 February 2017,06:00
27,KSC,BulgariaSat-1,"9,600 kg",GTO,NASA,"Success
",F9 FT[,Success,16 March 2017,22:27
28,KSC,Iridium NEXT,"6,761 kg",LEO,NSPO,"Success
",F9 FT[,Success,30 March 2017,11:15
29,VAFB,Intelsat 35e,"3,310 kg",SSO,USAF,"Success
",F9 FT[,Success,1 May 2017,23:21
30,KSC,SpaceX CRS-12,475 kg,LEO,Iridium Communications,"Success
",F9 FTB1029.2195,Success,15 May 2017,21:07
31,KSC,Formosat-5,"4,990 kg",Polar,SES S.A.,"Success
",F9 FT[,Success,3 June 2017,19:10
32,VAFB,Boeing X-37B,"9,600 kg",GTO,KT Corporation,"Success
",F9 FT[,Success,23 June 2017,20:25
33,KSC,Iridium NEXT,"5,200 kg",GTO,NASA,"Success
",F9 B4[,Success,25 June 2017,23:38
34,VAFB,SES-11,"3,500 kg",LEO,Iridium Communications,Success,F9 FT[,Controlled,5 July 2017,16:31
35,KSC,Koreasat 5A,"2,205 kg",Polar,Northrop Grumman,Success,F9 B4[,Success,14 August 2017,18:51
36,KSC,SpaceX CRS-13,"9,600 kg",LEO,SES,Success,F9 B4[,Controlled,24 August 2017,14:00
37,Cape Canaveral,Iridium NEXT,C,GTO,Hisdesat,Success,F9 FTB1031.2220,No attempt,7 September 2017,12:37
38,VAFB,Zuma,"4,230 kg",SSO,Hispasat,Success,F9 B4[,No attempt,9 October 2017,22:53:00
39,CCAFS,GovSat-1,"2,150 kg",GTO,Iridium Communications,Success,F9 FTB1035.2227,No attempt,11 October 2017,19:34
40,CCAFS,Paz,"6,092 kg",Polar,NASA,Success,F9 FTB1036.2227,No attempt,30 October 2017,15:36
41,VAFB,Hispasat 30W-6,"9,600 kg",LEO,NASA,Success,F9 B4[,Success,15 December 2017,01:27
42,CCAFS,Iridium NEXT,"2,647 kg",HEO,Thales-Alenia,Success,F9 FTB1032.2245,Success,23 December 2017,01:00
43,VAFB,SpaceX CRS-14,362 kg,GTO,Iridium Communications,Success,F9 FTB1038.2268,No attempt,8 January 2018,21:25
44,CCAFS,Transiting Exoplanet Survey Satellite,"3,600 kg",Polar,SES,Success,F9 B4[,No attempt,31 January 2018,14:17
45,CCAFS,Bangabandhu-1,"6,460 kg",GTO,NASA,Success,F9 B4B1041.2268,No attempt,22 February 2018,05:33
46,KSC,Iridium NEXT,"5,384 kg",LEO,Telesat,Success,F9 B4B1039.2292,Success,6 March 2018,14:14
47,VAFB,SES-12,"2,697 kg",GTO,Iridium Communications,Success,F9 B4[,Success,30 March 2018,20:30
48,CCAFS,SpaceX CRS-15,"7,075 kg",Polar,Telkom Indonesia,Success,F9 B5311B1046.1268,Success,2 April 2018,22:51
49,CCAFS,Telstar 19V,"9,600 kg",GTO,Telesat,Success,F9 B4B1043.2322,Success,18 April 2018,20:14
50,CCAFS,Iridium NEXT,"5,800 kg",GTO,CONAE,Success,F9 B4B1040.2268,Success,11 May 2018,19:47
51,VAFB,Merah Putih,"7,060 kg",SSO,Es'hailSat,Success,F9 B4B1045.2336,Success,22 May 2018,04:45
52,CCAFS,Telstar 18V,"3,000 kg",GTO,Spaceflight Industries,Success,F9 B5,Success,4 June 2018,09:42
53,CCAFS,SAOCOM 1A,"5,300 kg",SSO,NASA,"Success
",F9 B5349B1048[,Failure,29 June 2018,05:50
54,VAFB,Es'hail 2,"~4,000 kg",LEO,USAF,Success,F9 B5B1046.2354,No attempt,22 July 2018,11:39
55,KSC,SSO-A,"2,500 kg",MEO,Iridium Communications,"Success
",F9 B5[,Success,25 July 2018,05:18
56,VAFB,SpaceX CRS-16,"4,400 kg",Polar,PSN,"Success
",F9 B5B1048.2364,Success,7 August 2018,04:45
57,CCAFS,GPS III,"9,600 kg",GTO,NASA,"Success
",F9 B5B1047.2268,Success,10 September 2018,02:22
58,CCAFS,Iridium NEXT,"4,850 kg",LEO,NASA,"Success
",F9 B5B1046.3268,Success,8 October 2018,20:46
59,VAFB,Nusantara Satu,"12,055 kg",LEO,SpaceX,"Success
",F9 B5[,Success,15 November 2018,18:34:05
60,CCAFS,Crew Dragon Demo-1,"2,495 kg",LEO,Canadian Space Agency,"Success
",F9 B5[,Success,3 December 2018,18:16
61,KSC,SpaceX CRS-17,"13,620 kg",SSO,NASA,"Success
",F9 B5B1049.2397,Success,5 December 2018,13:51
